"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Türk Telekom İnternet Bağlantı Sorunu","07 Ağustos 16:31","155","Türk Telekom'u önermiyorum. İnternet çekmiyor, modem de çekmiyor, mobil veri de çekmiyor. Bu nasıl iş? O kadar para veriyoruz, yine de çekmiyor. Ne zaman sorsak sistemimizde hata var diyorlar. Bu nasıl iş kardeşim? İnternet kullanamayacak mıyız? Herhangi bir yardım istemiyorum kimseden ama söyleyeyi","...","#İnternet"
"Türk Telekom İnternet Bağlantı Arızası","07 Ağustos 16:22","136","Van İpekyolu ilçesi Vali sokağında 4 gündür bölgede yapılan teknik çalışmadan dolayı internet bağlantısı bulunmamaktadır. 2024 yılında hâlâ günlerce arızayı onarmamış olmak çok saçma bir an önce düzeltilmeli. Online egitim alıyorum ona bile giremiyorum bu nasıl bir sorumsuzluktur. Türk Telekom'un bi","...","#İnternet"
"Türk Telekom Un 1 Haftadır Giderilemeyen İnternet Arızası","07 Ağustos 16:20","113","Türk Telekom'dan kullandığımız ev internetimiz için 31 Temmuzda hızın yükseltilmesi için paket değişikliği yaptık. Fakat bu tarihten itibaren internet kullanamıyoruz. Arıza araştırması yapılıyor diye 1 haftadır bizi oyalıyorlar. Ne zaman yapılacağı veya arızanın ne olduğu ile ilgili hiçbir bilgi a","...","#İnternet"
"Türk Telekom Ag Bağlantı Hatası","07 Ağustos 16:09","80","Telefonum sabah saatlerinden beri bu saate kadar ağ bağlantısı yok. Önemli aramalar bekliyorum ama ağ yok, yok, yok. Ama tarifelerde 300-400 TL almayı biliyorsunuz. Hangi devirde yaşıyorsunuz anlamıyorum. Diğer hatların çekmediği bir saniye bile yok. Niye böyle?","","#Altyapı Sorgulama"
"Türk Telekom Haksız Ücret Kesintisi Ve Kişisel Veri İhlali","07 Ağustos 16:00","97","Türk Telekom müşterisiyim. 3699 numaralı bir servis tarafından faturama 103 TL yansımış. Bana hiçbir şekilde mesaj gelmedi. Türk Telekom şikayetimi ve para iadesi talebimi; ""Bizim bu servisle bir bağlantımız yoktur"" diyerek reddetti. Türk Telekom kendi müşterisinin numarasını bu özel servisle paylaş","...",""
"","07 Ağustos 15:53","48","","",""
"Türk Telekom Sil Süpür Hediyelerinin Hep Aynı Ve Kullanışsız Olması.","07 Ağustos 15:52","141","Türk Telekom Sil Süpür kampanyası her hafta çarşamba günleri aynı hediyeleri veriyor. Herkesin X hesabı olmak zorunda değil. Sadece X'te kullanılmak üzere GB internet hediyesi vermesi benim işime yaramıyor. Türk Telekom'un bu konuyu düzeltmesini ve herkesin yararlanabileceği bir hediye vermesini tal","...","#Sil Süpür"
"Türk Telekom Ev İnterneti Tarifeleri Fiyat Adaletsizliği","07 Ağustos 15:43","147","Türk Telekom firmasının fiyatlandırma politikasından şikayetçiyim. Akrabamın 200 MB hızındaki ev internetine bütün 320 TL tarife çıkaran Türk Telekom bizim 50 MB hızındaki ev internetimize 2 gün önce 518 TL fiyat çıkardı. İki ev interneti de fiber internet! Bu konuyla ilgili şikayetçiyim.","","#İnternet"
"Türk Telekom Dönüş Yapmıyor. Muhatap Olmuyor","07 Ağustos 15:42","85","Tarife taahhüt süresinin bitmesi nedeni ile çağrı merkezi ile görüşmem sonucunda günlerdir dönüş yok ve muhatap bulamıyorum. Sürekli aynı sonuçlar ile dönüş yapılıyor sanki ben satıcı onlar müşteri böyle garip bir şirket... Ed... ...","",""
"Türk Telekom Müşteri Memnuniyetsizliği Ve Pişmanlığı","07 Ağustos 15:41","108","Bitlis ili Tatvan ilçesine Taşınmamdan Dolayı Bir hafta önce Nakil işlemi başlattım. İnterneti bağlamaya Gelen eleman elindeki cihazla prizde bağlantı Olmadığını söyleyerekten hiç uğraşmadan Elektrikçi çağırmam gerektiğini söyledi. Sonrasında müşteri hizmetlerini aradığımda kendi işleri olması gerek","...",""
"Türk Telekom Taahhütlü Olmama Rağmen Haksız Fatura Artışı Yapıyor","07 Ağustos 15:31","160","8819895932 numaralı Türk Telekom evde internet 2 yıl taahhütlü faturam her ay 208,25 TL gelirken bir anda Temmuz ayı itibariyle 248,75 TL olarak gelmeye başladı. Müşteri hizmetlerini aradığımda bana yetersiz bilgi verip kampanyaya katılmışsınız gibi saçma cevaplar verdi. Tarafımca hiçbir kampanyaya","...","#Fatura ödeme"
"Türk Telekom'dan İzinsiz Kredi Kartı Çekimi","07 Ağustos 15:31","110","10 yaşındaki çocuğum 1-2 haftalığına köyde bahçeye gitti. ""Baba, burada internet yok, benim telefona internet yükler misin?"" dedi. Türk Telekom'da tarifelere baktım. Çocuk bahçede kısa süre kalacağı için 21 günlük 10 GB fiks paket yükledim. Çocuk maşallah 2-3 günde 10 GB bitirmiş, YouTube'da geze ge","...","#Faturasız Paketler"
"Türk Telekom Daha Önce Çeken Hat Çekmez Oldu","07 Ağustos 15:24","138","Konya şehir hastanesinde alt katlarda (acil servis vs.) Türk Telekom hat gitti. Hastane çalışayım ayda 200-250 saatim burada çalışarak geçiyor. Hattı başka operatöre taşımak istiyoruz fakat taahhüt nedeniyle bunu da yapamıyoruz. Nasıl bir yol izlemeliyiz.","",""
"Türk Telekom Hizmet Sorumsuzluğu Ve Çözülemeyen Bağlantı Sorunu","07 Ağustos 15:23","130","4667322013 hizmet numaralı Türk Telekom internetimizi kullanamıyoruz. Defalarca çağrı merkezini aramamıza rağmen işyerinde kullandığımız interneti kullanamıyoruz. İşyerinde yapılan işlemlerimizin neredeye tamamı internet ile yapıldığından dolayı ciddi sıkıntılar yaşıyoruz. Çözüm için aradığımız çağr","...","#İnternet"
"Taahhüt Var Mı Yok Mu Yoksa Neden Yok Türk Telekom","07 Ağustos 15:23","173","Türk Telekom'dan sıfır hat sıfır tarife olarak hizmet aldım. Hattı alırken tarifeyi seçtim, tutar 400 küsur olması gerek. İlk ay 600 küsur TL fatura kestiler, dedim hat ücretidir. Bu ay 830 TL kestiler. Faturayı müşteri temsilcisi ile görüştüm, ilk başta bana taahhüdünüz var denildi, sonra işin için","...","#Fatura ödeme"
"Türk Telekom'un Altyapı Oyalaması","07 Ağustos 15:22","150","Yaklaşık 2 sene önce internet altyapımız olmadığı için Türk Telekom'un magnet internet hizmetinden yararlanmaya başladık. Önce 200 TL ile başladı. Taahhütsüz bir hizmet olduğu için fiyat dalgalanmalarından etkilenirsiniz dendi. İyi bir hizmet ve kısa zamanda sağlanacak bir altyapı için kabul ettik.","...","#Magnet"
"Türk Telekom Tivibu Çözülmeyen Sorunlar Silsilesi","07 Ağustos 15:22","73","Bir hafta önce Tivibu'da sorun yaşadığımız için yeni kutu temini ile işlem sağlandı. Ancak kutuyu kullanmaya başladığımızdan beri ekranda donma ve mozaiklenme söz konusu, ama ilgi sıfır. Sözleşmemi yenilediğime pişmanım. Türk Telekom bir kez daha pişman etti.","","#Altyapı Sorgulama"
"Türk Telekom GSM Operatörün Verdiği Mağduriyet","07 Ağustos 15:12","103","Türk Telekom internet azaldığı zaman mesajla uyarır. Türk Telekom, benim internetim bittikten ve 40 TL karşılığında 250 MB yenilendikten sonra bana bilgilendirme mesajı gönderiyor. Müşteri temsilcisini aradım, bir şey yapamayız dedi. Türk Telekom'un sistem hatalarından dolayı geç işlem gerçekleşmesi","...","#Fatura ödeme"
"Türk Telekom Marttan Beri Kullanamadığım İnternet","07 Ağustos 15:11","98","18.03.2024 tarihinde iş yerimde kullanmakta olduğum internetimin yol yapımı sırasında kabloları kopmuştur. Bununla ilgili teknik ekiplerinize arıza kaydı oluşturulmuştur. Teknik ekipleriniz inceleme yaptıktan sonra tekrar bağlayamayacaklarını ve teknik iptal yaptırmam gerektiğini söylediler. Buna is","...","#İnternet"
"Türk Telekom Satın Aldığım İnternet GB Süre Problemi","07 Ağustos 15:10","108","30 gün süreli 15 Gigabyte internet satın aldım. Fatura kullanım süremin bitmesine 36 saat kalmış. Şimdi aldığım 15 Gigabyte ın süresini de 36 saat kaldı olarak gösteriyor. Ben 1 aylık tarife aldım. Ve çağrı numarasını aradığımda kesinlikle müşteri hizmetlerine bağlanamıyorum. Muhatap bulamıyorum. Al","...","#İnternet"
"Tivibu Fatura Sorunu Ve Ek Ücretler","07 Ağustos 15:10","108","Yıllardır sorunsuz olarak fatura numarası ile ödediğim Tivibu faturasını geçen ay ödeyemedim. Tanımlı fatura olduğu halde fatura numarası hatalı ibaresi çıktı. Daha sonra ben unuttum, şimdi 281,50 TL kapama ücreti görünen bir fatura geldi. Neyse, ödeyeyim dedim; 281 kapama + 281 açma toplam 563 TL ö","...","#Fatura ödeme"
"Türk Telekom Müşterilerine Pahalı Tarifeler Ve İlgisizliği","07 Ağustos 15:02","122","Türk Telekom'un kendi sitesinde gösterdiği tarifeyi alamıyorum. Hali hazırda kullandığım tarifin taahhüdü bittiği için tarife değiştireceğim müşteri hizmetleri geçebileceğimi söyledi. Diğeri geçemeyeceğimi söyledi. Yeni müşteri diye faturasıza geçip tekrardan faturalıya geçip alabileceğimi söyledile","...","#Faturalı Paketler"
"TTNET Ev İnterneti","07 Ağustos 14:59","134","Yaklaşık 3 haftadır Türk Telekom ev internetimin ücretini ödememe rağmen hizmet alamıyorum. Defalarca kez müşteri hizmetlerini aradım fakat her defasında oyalayıcı çözüm önerileriyle karşılaştım. Belki 3-4 kez arıza kaydı açılmasına rağmen hiçbir yetkili gelmedi üstüne üstlük sistemde kayıtlı telefo","...","#İnternet"
"Türk Telekom Müşteri Temsilcisi Sorunu","07 Ağustos 14:52","126","Türk Telekom şikayet Yaklaşık bir aydır Türk Telekom müşteri hizmetlerine bağlanmaya çalışıyorum. Ama her seferinde beni görüşmeden atıyor ve bir türlü bağlanamıyorum. Bu durumdan şikayetçiyim. Tarife değişikliği yapacağım ama şu an mümkün değil gibi duruyor.","","#Faturalı Paketler"
"Türk Telekom'un İnternet Sağlayamaması","07 Ağustos 14:50","76","Türk Telekom internet müşterisiyim bugün saha görevlileri gelip bir anda internet kablolarını kestiler hiçbir haber bilgi vermeden ve şu an en az 20 gün internetiniz olmaz diyorlar! Ben evden çalışıyorum bunun bilgisi verilmeden ve alternatif bir çözüm üretilmeden nasıl bir anda internetimi kesebili","...","#İnternet"
"Türk Telekom Vefat Eden Aboneden Utanmadan Cayma Bedeli İstiyor!","07 Ağustos 14:50","158","Türk Telekom, 15.06'da vefat eden babamın telefonunun iptali için tüm belgelerle başvuru yapmamıza rağmen taahhüt cayma bedeli istiyor, 700 küsur TL! BTK'nın 22.01.2023 tarihli tebliğinde ölümün mücbir sebep sayıldığı ve herhangi bir ücret alınmayacağı belirtilmiş ancak, buna rağmen insanlar mağdur","...",""
"Türk Telekom Kesinti Problemi Ve İlgisizlik Nedeniyle Mağduriyet","07 Ağustos 14:41","74","Bir aydır uğraşmış olduğum kesinti problemime asla dönüş, çözüm veya yönlendirme yapılmadı. Bu firmadan daha kötü bir internet bağlantısı olamaz. Ne bir muhatap var ne de çözüm. Bir aydır bir kez bile herhangi bir ekip veya birim işlem yapmadı. Mağduriyetim giderilmedi, mağdur etmek için elimden gel","...","#İnternet"
"Satın Alınamayan Faturasız Paket Türk Telekom Ödeme Hatası","07 Ağustos 14:31","184","Annemin kullanmış olduğu Türk Telekom faturasız hatta her şey dahil paket satın almak için mobil uygulamaya giriş yapıyorum. 28 günlük geçerliliği olan Çok Şanslı 20gb paketinin 180 TL olduğunu görünce almak istedim. Ancak kredi kartı ile ödeme yaparken işlem gerçekleşmiyor ve hata mesajı alıyorum.","...","#Faturasız Paketler"
"Türk Telekom Kurulum Randevusu Ve Destek Hizmeti Sorunları","07 Ağustos 14:22","118","Resmen dalga geçiyorlar. Bir şey yaptıkları yok, kurulum randevusu verip gelmiyorlar. Arıyoruz, 3 gün sonraya randevu veriyorlar ve yine gelmiyorlar. Yok, şu saate kadar gelirler miş. Sizin yapacağınız sistemi bir türlü beceremediniz, 2 haftadır gelmiyorlar. Destek ekibi desen zaten işe yaramıyor. 2","...",""
"","07 Ağustos 14:10","0","","",""
"Türk Telekom Şebeke Sorunu Servis Yok","07 Ağustos 14:09","113","Yurt dışındayım, Türk Telekom aktif kullanıyorum ve her ay ortalama 4000 TL civarı fatura ödüyorum ama 2-3 gündür şebeke yok, servis gelmiyor ve hiçbir şekilde hattı kullanamıyorum. Nereye, kime, nasıl ulaşacağım, bilgi alacağım da belli değil. Bir an önce çözülmesini bekliyorum. Şebekem yok ve hatt","...","#Altyapı Sorgulama"
"Türk Telekom Müşteri Hizmetlerine Bağlanamıyorum","07 Ağustos 14:09","85","Türk Telekom'da niye asla müşteri temsilcisine bağlanamıyoruz. İnternet paketim bittiği için ek internet paketi satin aldım paketim olmasına rağmen kullandığım internet faturama yansıdı ve şu anda satin almış olduğum paketi de kullanamıyorum internetim olmadığını söylüyor","","#İnternet"
"Türk Telekom Haftalık Paketi İptal Edememe Saçmalığı!","07 Ağustos 14:00","84","Türk Telekom Prime Faturalı müşterisiyim. İnternet paketim bitti ve ek paket yapmaya karar verdim. Yanlışlıkla Haftalık 10 GB Instagram paketi yapmışım ve şu an iptal etmeye çalışıyorum ve iade istiyorum kesinlikle yapmıyorlar. Paketi kullanmadım ve iade etmek istiyorum ve iade yapamadığımı belirtti","...","#Prime"
"Türk Telekom Telekom Fix Paket Mükerrer Olmasına Rağmen İptal Ve İadesinin","07 Ağustos 14:00","77","Türk Telekom dan numarama Fix paket tanımladım, ücretinin kartımdan düşülmediğini görünce tekrar paket tanımladım ve bugün iki paket ücreti de kredi kartımdan düşülmüş, TT u aradığımda iptal edilmeyeceği söylendi. Paketler kullanılmadı. Hatalı işlem olduğunu ve kullanım yapılmadığını belirttim ancak","...","#Faturasız Paketler"
"Türk Telekom Altyapı Sorunu Hakkında","07 Ağustos 13:29","155","Türk Telekom altyapısı Kastamonu Şenpazar Edeler Köyü No 138 de yok. Telefon direkleri ve altyapı yok. Diğer tüm köyde sorun yokken daha önce köyde yapılan çalışmalar sebebiyle bizim evin önündeki kabloları direkleri toplamışlar daha sonrada gelen giden olmamış. Köye taşındım uzaktan çalıştığım bir","...","#İnternet"
"Türk Telekom Hat Çekmiyor. Çekmiyor...","07 Ağustos 13:29","142","Hat çekmiyor, Ben böyle ucuz basit bir operatör görmedim, yılların Türk Telekomunu bilmediğimiz Araplara satarsanız olacağı budur. Çekmiyor arkadaş çekmiyor. Aldığınız paraları hak etmiyorsunuz. Kul hakkı yemek çok mu hoşunuza gidiyor. Başka diyecek lafım yok.","","#İnternet"
"Türk Telekom +90 850 484 0081","07 Ağustos 13:27","135","‬+90 850 484 0081 numara beni aradı, internet sözleşmeniz bittikten sonra yüksek ücret ödemeyin dedi 1'i tuşlayın dedi, ben de bir anlık dalgınlıkla tuşladım. Dakikalarca çaldı açmadılar. Numarayı araştırınca yanıltıcı olduklarını, başkalarını da aradıklarını öğrendim. Türk Telekom altyapısı adına a","...","#İnternet"
"Türk Telekom İnternet Bağlantı Sorunu","07 Ağustos 13:27","121","Bu Türk Telekom interneti kadar kötü bir şirket yok. Benim internet anlaşmam 100 Mbps ama ev 50 Mbps karşılıyormuş. Benden 100 Mbps internet parası alıyorlar. Üstelik bırakın 100 Mbps'yi, 50 Mbps bile karşılamıyorlar. Arıza için aradım, müşteri hizmetlerine bağlanamıyorum bile.","","#İnternet"
"Türk Telekom Alacağımı İade Etmiyor","07 Ağustos 13:27","86","29 Temmuz 2024 Pazartesi akşamı e-Devlet'te gezinirken 'mobil' diye arattığımda mobil hat borç alacak kısmına rastladım. Türk Telekom Mobil alacak kısmında 0532****250 numaralı hattıma ait 6800 TL'lik alacağım göründü. İade formunu doldurdum, IBAN girdim, kabul edildi. Çıkan onayda da bir hafta için","...",""
"Türk Telekom Aylardır Altyapı Olan Evime İnternet Kurulumu Yapmıyor","07 Ağustos 13:26","108","12.06.2024 tarihinde Ağrı merkezde ev interneti için başvuru yaptım. Kurulum için gelindi, ancak dolap dolu, port yok, tayinler olur, yoğunluk azalır. Ortalama 1 ay sonra gelip hallederiz, dediler. 29 Temmuz'da sözleşme yaptığım bayiye bu durumu söylediğimde mahallede bakım yapıldığını, ağustos ve e","...","#İnternet"
"Türk Telekom Farklı Fiyatlar Veriyor","07 Ağustos 13:26","76","Türk Telekom'dan arandım. Kampanyada olan yeni modem için 1600 TL olarak fiyat verdiler. Şu an müsait değilim, beni 1 saat sonra arayın dedim ve onaylayacağımı söyledim. Başka bir müşteri temsilcisi tarafından arandım ve aynı modem için fiyatı 1650 TL dediler. Ben de almaktan vazgeçtim. Bu şekilde d","...","#Modem"
"","07 Ağustos 13:25","115","","",""
"Çaldıran Türk Telekom İnternet Arızası","07 Ağustos 13:17","142","Türk Telekom İnternet Çaldıran Recep Tayyip Erdoğan Mahallesinde 5 gündür yok nereyi ararsak arayalım bekleyin diyorlar. Bulunduğumuz yerde herhangi bir çalışma olmamasına rağmen ekiplerimiz var gücüyle çalışıyor yalanından da bıktık artık ilgilenin şu arızayla.","","#İnternet"
"Türk Telekom Cep Telefonu Taahhüt Bitişi","07 Ağustos 13:14","98","Türk Telekom günlerdir bir taahhüt işini çözemedi. Kimle konuşsam kayıt açıyor ama sonuç yok. İptal edin diyorum, onu da etmiyorlar. İndirim yapılmış diyorlar, ortada ne indirim var ne taahhüt ne de yardımcı olan. Diyorum ki bu hattımı annem kullanıyor, yaşı olduğu için itibar numarası olarak kendi","...","#Hat Başvurusu"
"Türk Telekom'un Dolabında Yer Yokmuş!","07 Ağustos 13:14","70","Ağrı Merkez'de evimize internet almak istiyoruz fakat oturduğumuz mahallede dolapta yer kalmadığı için Türk Telekom birilerinin tayin istemesini veyahut internetini iptal ettirmesini beklememizi söyledi. Oturduğumuz adres, Ağrı Merkez'in tam göbeği. Hazirandan beri bekliyoruz. En son böyle bir sıkın","...","#İnternet"
