"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button","sv-model-button href","large-view src"
"Superonline Teknik Ekip'in İşini Yapmaması","https://www.sikayetvar.com/superonline/superonline-teknik-ekipin-isini-yapmamasi","Necat","14 Haziran 16:08","83","Dört gün önce 100 megabitlik tarifeden 1000 megabitlik tarifeye geçtim. İndirme hızım 9 megabite düştü. Defalarca Superonline müşteri temsilcileriyle görüştüm, arıza talebi oluşturuldu. Her arıza talebimi beni aramadan ve adresime gelmeden teknik ekip kendilerince sorun çözüldü diyerek kapatmışlar.","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Turkcell Superonline Çalışanlarının Hiçbir Şeye Çözüm Bulmayışı","https://www.sikayetvar.com/superonline/turkcell-superonline-calisanlarinin-hicbir-seye-cozum-bulmayisi","Gülbin","14 Haziran 15:51","0","12.06.2024 tarihi 22:10 saatinde evime gelip internetimin kesildiğini gördüm. Ücret ödememi günü gününe yaptığım için, yönetici ile konuşup bir sorun olup olmadığını sordum. Yönetici de dedi ki ;Turkcell Superonline'ın usulsüz bir şekilde internet bağladığını, başka bir firmanın da gelip usulsüz bağ","...","#Arıza","https://www.sikayetvar.com/superonline/ariza","https://files.sikayetvar.com/complaint/2908/29082156/turkcell-superonline-calisanlarinin-hicbir-seye-cozum-bulmayisi-2_350x350.jpg"
"","","Özlem","14 Haziran 15:43","145","","","","",""
"Superonline Hat Sahibi Olmadan Kapatması","https://www.sikayetvar.com/superonline/superonline-hat-sahibi-olmadan-kapatmasi","Sultan","14 Haziran 15:43","132","Superonline internet kullanıyoruz. Uzun zamandır fiyat çok yükseldiği için kapatmaya karar verdik. Sonra bir arkadaş aradı ve fiyat teklifi sundu. Fakat internet sahibi birazdan gelecek, tekrar arayın dememe rağmen interneti kapatmışlar. Bana mesaj geldi, modem almaya geleceğiz diye. Hemen kapattıla","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Turkcell Superonline Ev İnternet Ağı","https://www.sikayetvar.com/superonline/turkcell-superonline-ev-internet-agi","Arzu","14 Haziran 15:16","129","Önce altyapınız Superonline destekli denilip bize internet bağlandı. Daha sonra o taahhüt süresi boyunca internet erişiminde, bağlantı da birçok sıkıntılar çektik ve alt yapımızın Superonline destekli olmadığını öğrendik. Şu an da da tamamen iptal ettiğimiz için modem iademizi talep ediyorlar. Sadec","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Superonline Yazlıkta Olmak İnternet Kesintisine Sebep Olmamalı!","https://www.sikayetvar.com/superonline/superonline-yazlikta-olmak-internet-kesintisine-sebep-olmamali","Tuğba","14 Haziran 15:04","96","Superonline firması yazlığa gittim diye İstanbul'da internetimi kesmiş, evime geliyorum, 2 gündür hizmet alamıyorum, hatlar kesik ne demek? Müşteri hizmetlerine ulaşmak tam bir eziyet, Ataköy merkezi bir yer, çözüm? Neden evde olmayınca sorun yaşıyorum. Acilen","","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi","https://files.sikayetvar.com/complaint/2908/29081509/1718367589511.img-6339_768x768.jpg"
"Superonline Hız Ve Kopma Arızası","https://www.sikayetvar.com/superonline/superonline-hiz-ve-kopma-arizasi","Enis","14 Haziran 14:43","108","Superonline internet hız ve kesinti problemi destek verilmiyor. Türk Telekom alt yapıya aktarım yapılıyor. Superonline ekipleri sorunla ilgilenmiyor. Bu sorunu 2 haftadır yaşıyorum en az 20 kere arama sağladım hiçbir şekilde sorunum düzeltilmedi düzeltilmesini talep ediyorum...","","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Superonline İnternet Sorunu Klasiği","https://www.sikayetvar.com/superonline/superonline-internet-sorunu-klasigi","Candan","14 Haziran 14:26","72","Superonline tam bayram öncesi yine yaptı yapacağını bu nedir bir türlü anlamıyorum düzgün internet kullandığım gün sayısı sınırlı. Verdiğiniz basit hizmeti kullanabilmek için bu eziyetlere katlanmak zorunda mıyım... Derhal durum çözülsün yoksa bayram tatilinden sonra ilk işim internet aboneliğimi so","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Pişmanlıktır Bir Daha Asla","https://www.sikayetvar.com/superonline/superonline-pismanliktir-bir-daha-asla","Alican","14 Haziran 13:18","79","Superonline pişmanlıktır. Hiçbir şekilde hizmet vermiyorlar. İnterneti taşımak zorunda kaldık. 600 TL para aldılar taşıma bedeli olarak ancak 1 haftadır oyalıyorlar. Aradığımda hep aynı konuşmalar yaşandı. Bayinin numarasını alıyoruz, ulaşamıyoruz ve geri dönüş de olmadı. Eşim evden çalışıyor. Bu sü","...","","",""
"Superonline İki Aydır Kurulum Yapmıyor, İnternet Mağduriyeti!","https://www.sikayetvar.com/superonline/superonline-iki-aydir-kurulum-yapmiyor-internet-magduriyeti","Mikail","14 Haziran 13:02","121","11.05.2024 tarihinde Superonline internet hizmetine başvuruda bulundum. Ancak, başvurumun üzerinden yaklaşık iki ay geçmesine rağmen, tarafıma internet bağlantısı sağlanamamıştır. Müşteri hizmetleri ile yaptığım görüşmelerde port kurulumu yapılacağı belirtilmiş ancak bu konuda herhangi bir ilerleme","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik","https://files.sikayetvar.com/complaint/2907/29079996/superonline-iki-aydir-kurulum-yapmiyor-internet-magduriyeti-1_768x768.jpg"
"Turkcell Superonline Fiber İnternet Hız Problemi","https://www.sikayetvar.com/superonline/turkcell-superonline-fiber-internet-hiz-problemi-4","Hüseyin","14 Haziran 12:55","137","Merhaba, Turkcell Superonline fiber internet kullanıcısıyım. 100 Mbps hıza sahip internetim olmasına rağmen 3 gündür hız problemi yaşıyorum. Bugün öğlen (11.51 gibi) müşteri hizmetlerini aradım. Şikayetim anlattım. Aramadan önce hız değerim 14.9Mbps' di. Arayıp görüştükten sonra güncellemeler yaptıl","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet","https://files.sikayetvar.com/complaint/2907/29079839/turkcell-superonline-fiber-internet-hiz-problemi-1_768x768.jpg"
"Turkcell Superbox: Satış Sonrası Destek Sorunları Ve Kota Problemleri","https://www.sikayetvar.com/superonline/turkcell-superbox-satis-sonrasi-destek-sorunlari-ve-kota-problemleri","Halit","14 Haziran 12:46","119","Turkcell Superbox müşteri temsilcilerine ulaşmak mümkün değil ve suratımıza kapatılan telefonlar... Superbox'ın eski müşterilerindenim. 4 adet Superbox kullanıyordum (3 tanesi kardeşimin adına, 1 tanesi eşimin adına) ve şu an 3 adet Superbox kaldı. Her şey ürünü size satana kadar. Ürün size satıldık","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Superonline TV Plus Kurulumunun Yapılması","https://www.sikayetvar.com/superonline/superonline-tv-plus-kurulumunun-yapilmasi","Tolga","14 Haziran 12:38","100","Geçen hafta Superonline aboneliğimi yeniledim, yanında TV Plus üyeliğini de yaptık. Aynı gün kurulum için arandım, saat 17:30-18:00 arasında geleceklerdi. Bir hafta oldu, ne gelen var ne giden. Onca sefer müşteri hizmetlerini aradım, kayıt oluşturuluyor, acil olduğu belirtiliyor ama hiçbir şekilde g","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"Superonline Onayım Olmadan Yeni Tarifeye Geçirdi","https://www.sikayetvar.com/superonline/superonline-onayim-olmadan-yeni-tarifeye-gecirdi","Betül","14 Haziran 11:46","185","27 Mayıs 2024 tarihinde internet üzerinden online'a özel 2 ay ücretsiz yalın VDSL'de uçuran hızlar kampanyasına geçtim. 11 Haziran saat 17.53 de 02229991618 numaralı Superonline Eskişehir bayisi beni telefonla aradı. Aramada kampanya kapsamında TV Plus özelliğinin de bulunduğunu fakat aktifleştirilm","...","#VDSL","https://www.sikayetvar.com/superonline/vdsl","https://files.sikayetvar.com/complaint/2907/29078922/superonline-onayim-olmadan-yeni-tarifeye-gecirdi-2_350x350.jpg"
"Superonline Superbox Modem Desteği Yok!","https://www.sikayetvar.com/superonline/superonline-superbox-modem-destegi-yok","Cem","14 Haziran 11:45","115","Superonline Superbox kullanıyorum ve muhtemelen ilk müşterilerinden olabilirim. Ürün kablosuz bir internet sağlıyor yani GSM şebekesi üzerinden çalışıyor ancak ne hikmetse unutmuş olacaklar ki bu durumu modemin alındığı adreste kullanılmasını istiyorlar. Çünkü ne zaman sorun için arasam müşteri hizm","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Turkcell Superonline Saha Çalışanı Tarafından Verilen Taahhüdü","https://www.sikayetvar.com/superonline/turkcell-superonline-saha-calisani-tarafindan-verilen-taahhudu","Ufuk","14 Haziran 11:11","89","Saha çalışanı tarafından 24 ay Turkcell Superonline aboneliğim yapıldığı söylendi. Tekrar tekrar teyit ettim kendisine arayarak ve WhatsApp yazışmalarımda geçen hafta için de Superonline kampanyalar biriminden arandım ve aboneliğimin 12 ay yapıldığını öğrendim. Biz kime güveneceğiz? Sosyal medya üze","...","","",""
"Superonline 3 Gündür Çalışma Yapıyor. İnternetim Kesik.","https://www.sikayetvar.com/superonline/superonline-3-gundur-calisma-yapiyor-internetim-kesik","Sercan","14 Haziran 11:10","130","Merhabalar, Yaklaşık olarak 3 gündür Superonline internetim kesik. Çalışma olduğu söyleniyor fakat problem giderilemiyor. Her gün müşteri hizmetlerini arıyorum. Yasal olarak ben 30 günlük kullanım ücretini sizlere verirken 3 günlük kesinti ücretini bana yansıtamazsınız. Problemin kısa sürede çözülme","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline'dan Dönüş Gelmemesi","https://www.sikayetvar.com/superonline/turkcell-superonlinedan-donus-gelmemesi","Onur","14 Haziran 11:03","135","Turkcell Superonline müşteri hizmetleri arayarak teknik talep oluşturdum. Ancak kimse aramamasına rağmen son 2 talebimin kapatıldığı bilgisi geldi. Müşteri hizmetlerini tekrar aradığımda defalarca aranıp ulaşılmadığı notu düşülmüş ancak kimse aramadı. Hala aramalarını bekliyorum. Sürekli olarak yeni","...","","",""
"Superonline İle 2 Haftadan Fazla Süren Eziyet","https://www.sikayetvar.com/superonline/superonline-ile-2-haftadan-fazla-suren-eziyet","Fatih","14 Haziran 10:16","140","Superonline sanırım müşteriye doymuş olmalı ki, 3 haftadır sayısız kez aramalarıma rağmen; tekrar tekrar kayıt oluşturmama rağmen şu an başladığım noktadan bir adım ileri gidemedim maalesef. Kayıt oluşturuyoruz sizi arayacaklar diyorlar ama ne arayan var ne de soran. Bir interneti bağlamak cidden bu","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Fiber Abonelik Sorunu","https://www.sikayetvar.com/superonline/superonline-fiber-abonelik-sorunu-2","Haydar","14 Haziran 10:15","104","09.06.2024 tarihinde Superonline çağrı merkezini arayarak 100 Mbps limitsiz ortak fiber hattına abone olmak istediğimi söyledim. Gerekli bilgileri verdim, hatta abone numarası bile verildi. Saha bayi ekiplerinin gelip bana sözleşme imzalatıp gerekli evrakları alıp aboneliğimin başlaması 3-4 gün için","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Turkcell Superonline Evime 9 Gündür İnternet Vermiyor","https://www.sikayetvar.com/superonline/turkcell-superonline-evime-9-gundur-internet-vermiyor","Nur","14 Haziran 09:25","150","Evimde Turkcell Superonline internet kullanıyorum. 9 gün önce herhangi bir bilgilendirme yapılmadan evimdeki internetim kesildi. Müşteri temsilcisini aradığımda teknik bir genel arıza olduğunu aynı gün içerisinde çözümleneceği sesli yanıt sistemiyle iletildi. Her gün aramaya devam ediyorum, herhangi","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Sebep Belirtmeden İnterneti Kesiyor Ve Günlerce Gelmiyor.","https://www.sikayetvar.com/superonline/superonline-sebep-belirtmeden-interneti-kesiyor-ve-gunlerce-gelmiyor","Eren","14 Haziran 09:04","137","12.06.24 tarihinden beri sebebini belirtmeden arıza diye geçiştirerek internet bağlantımız verilmiyor. Superonline'ı aradığımız zaman müşteri temsilcisi baştan savma cevaplar verirken, sesli yanıt robot sistem gün içinde bir saat vererek sorunun düzeleceğini söylüyor. Ancak 14.06.24 tarihi oldu ve h","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Bayii İle Yaşadığım Fatura Sorunu","https://www.sikayetvar.com/superonline/superonline-bayii-ile-yasadigim-fatura-sorunu","Serdar","14 Haziran 09:04","104","Ankara Etimesgut Sümer adlı Superonline bayii, haksız kazanç sağlayan bir yapıdır. Ev internetimin taahhüdü bittiği için bana ulaştılar. Faturam 400 küsur TL olacaktı ama aboneliği eşinizin üstüne yeni abonelik yapalım, 300 küsurdan faydalanın dediler. Biz de kabul ettik ama gelen fatura 500 küsur T","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline İnternet Bağlantı Problemi","https://www.sikayetvar.com/superonline/superonline-internet-baglanti-problemi-656","Hakan","14 Haziran 08:15","107","İzmir Karşıyaka Örnekköy mahallesinde 3 gündür internetimiz yok. Her seferinde bir saat veriyorlar ve o saat geçtiğinde daha ileri bir saat vererek oy","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Bölgesel Arıza Mağduriyeti","https://www.sikayetvar.com/superonline/superonline-bolgesel-ariza-magduriyeti","Pınar","14 Haziran 07:52","199","13 Haziran saat 14:00'ten beri internet yok. Superonline anonsuna göre bölgemizdeki arıza nedeniyle internet yok. Her aradığımızda bölge kaynaklı arıza dendi ve 14 Haziran saat 04:00'te düzelecek, sonra anons 14 Haziran saat 06:00'da düzelecek şimdi de saat 17:00'de internet kesintisi tahmini düzele","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline Nakil Çıkmazı","https://www.sikayetvar.com/superonline/turkcell-superonline-nakil-cikmazi","İclal","14 Haziran 06:16","155","Turkcell Superonline ev internetimin taşınması için nakil talebinde bulundum. Modem vs. Cihazları sökerek Ankara'dan, Antalya'ya getirdim 3 kez aramama ve aciliyet bildirmeme rağmen teknik personel tarafından bağlantı yapılmak üzere evime gelinmemiştir. Acilen internet bağlantısı yapılmasını rica ed","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Superonline İnternetimi Kurmuyorlar Nakil İşlemim Gerçekleşmiyor","https://www.sikayetvar.com/superonline/superonline-internetimi-kurmuyorlar-nakil-islemim-gerceklesmiyor","İbrahim","14 Haziran 03:12","157","Dükkan adresimden ev adresine internet aboneliğimin nakil işlemi için başvurdum. Talep alınırsa dükkan interneti aksayacağı için önce yeni bir internet başvurusu yaptım, kurulum yapıldı. Daha sonra nakil olacak abonelik için başvuruda bulundum. 10 Haziran Pazartesi günü saat 9.30'a randevu verildi v","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Aniden Gelen Superonline İnternet Kesintisi","https://www.sikayetvar.com/superonline/aniden-gelen-superonline-internet-kesintisi","Bahtiyar","14 Haziran 02:10","147","Yeni Superonline abonesi oldum. Daha 1 hafta olmadan saat 00:00'da internet kesildi. Daha önceki yorumlara ve şikayetlere bakarak neredeyse pişman ola","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline Abonenin Kimlik Çipini Yedekliyor.","https://www.sikayetvar.com/superonline/turkcell-superonline-abonenin-kimlik-cipini-yedekliyor","Osman","14 Haziran 00:15","143","Turkcell Superonline internet için 10 Haziran günü ekip kuruluma evime geldi. Öncesinde merkez ofis beni arayıp E-Devlet üzerinden kimlik pin kodu talep edeceklerini söyledi, tamam dedim. Eve gelen ekip önce e-Devlet üzerinden pin kodunu yedekledi. Ben işlem bitti sandım, sonrasında kimliğimin çipin","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Haksız Kazanç Sağlamak İçin Bizi Sağıyor","https://www.sikayetvar.com/superonline/superonline-haksiz-kazanc-saglamak-icin-bizi-sagiyor","Serdar","14 Haziran 00:14","62","Superonline abonesiyim. 2 adet aboneliğim var 227 89 839. Abone numaram. Kira sözleşmem bittiği için aboneliklerimden bir tanesinin iptalini nisan ayı içerisinde gerçekleştirdim. Bir aboneliğim halen devam etmekte otomatik ödemem var. Bana Bayramdan sonra z*** Hanım gelen merkezden aradığını söyle i","...","","",""
"Superonline Pişmanlık Boşuna Fatura Ödüyorum","https://www.sikayetvar.com/superonline/superonline-pismanlik-bosuna-fatura-oduyorum","Erkan","14 Haziran 00:14","65","Superonline'ı her ay düzenli olarak arıyorum, saatlerce ulaşmaya çalışıyorum ve sınırsız internetin çekmediğini sürekli anlatmaya çalışıyorum. Konuşma bitene kadar internet çekiyor. Sonrasında veya ertesi gün yine aynı sorunla karşılaşıyorum. Sözde fiber altyapı ve yüksek hız var ama ne hız ne de in","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
