"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Yanıltıcı Bilgi Ve Yüksek Maliyetli Taahhüt Teklifi","Kahraman","02 Ağustos 13:19","3","02.08.2024 tarihinde saat 09.41 de 0542*****54 telefon numarasından Müşteri temsilcisi E**** bey aradı. Kullandığım telefon numarasına ait taahhüdün b","...","#Taahhüt"
"Vodafone Yanlış Bilgilendirme Ve Ekstra Ücretlendirme Sorunu","Gülsüm","02 Ağustos 13:09","-","Müşteri hizmetlerini aradım, paketimle alakalı bir sorun için. Sonra bana başka bir paket önerdiler; içinde 120 dakika ücretsiz yurt dışı konuşma olacağını söylediler. İki hafta boyunca kullandım ve kullandıktan sonra sürekli ekstra para ödemeye başladım. Sonra tekrar müşteri hizmetlerini aradım; ya","...","#Ek Paketler"
"Vodafone Müşteri Hizmetlerine Ulaşamama Sorunu","Dilek","02 Ağustos 13:09","-","Vodafone müşteri hizmetlerine bir türlü bağlanamıyorum, sürekli Tobi çıkıyor. Mümkün değil anlaşmak, faturam hakkında bilgi almak istiyorum fakat muha","...","#Faturalı Tarifeler"
"Vodafone Fatura Şoku: Beklenmedik Yüksek Ücretlendirme","Fırat","02 Ağustos 12:57","-","Vodafone hattıma 250 TL gelmesi gerekiyorken bu fiyatın 5 katı geliyor. Aşım yaptığımı düşünüp uygulamaya girince hâlâ internetin bitmediğini gördüm. Neden böyle bir sorun oluyor? Aşım yok, satın alma yok, her şey yolunda ama fiyatlar olması gerektiği gibi değil.","","#Fatura"
"Vodafone Kredi Kartı İle Alınan İnternet Paketi Yüklenmedi","Alptekin","02 Ağustos 12:30","-","Vodafone uygulamasından diğer hattıma kredi kartımdan 10 GB internet paketi yükledim. Bankaya baktığımda 230 TL parasını çekmesine rağmen 2 gün geçti ve hâlâ yükleme yapılmadı. Müşteri hizmetlerini defalarca aradım; sorun düzelecek ya da şöyle böyle yapın diye sözler söylendi. Çok mağdurum; hem para","...","#İnternet Paketi"
"Vodafone Çifte Ödeme Sorunu Ve Müşteri Hizmetlerine Ulaşamama","Serhat","02 Ağustos 12:29","24","","","#Faturalı Tarifeler"
"Vodafone Müşteri Hizmetlerine Ulaşamıyorum: Kimlik Bilgileri Sorunu","Aslı","02 Ağustos 12:20","1","3gün önce numaramı Vodafone taşımak için başvuru yaptım hat da elime ulaştı fakat kimlik bilgilerim uyuşmadığı için başvurum kabul edilmemiş. Bunun iç","...","#Numara Taşıma"
"Vodafone Faturamda Haksız Oyun Abonelik Ücreti","Raziye","02 Ağustos 12:20","-","Vodafone faturama haksız yere alınan Playweez adlı oyun abonelik ücretinin iade edilmesini talep ediyorum. Ben böyle bir aboneliğe başvuru yapmadım ama faturamda 3699 adında bir ödeme gözüküyor. Vodafone müşteri hizmetlerini arayıp sorduğumda Playweez adlı oyuna abone olduğunuz için böyle bir ödeme","...",""
"Vodafone Yanlış Tuşla Aktivasyon: 300 TL'lik Haksız Ücretlendirme","Mümin","02 Ağustos 12:12","2","Yurt dışında iken yanlış bir tuşa bastığım ve sadece 1 saniye gelen aramayı yanıtladığım için 300 TL'lik paketi aktif edip iade talebimi kabul etmeyen ve başka hiçbir kullanımım olmamasına rağmen bu ödemeyi hak kabul eden bir firmasınız. Bu, ne ahlaka, ne müşteri memnuniyetine yakışır.","","#Yurt Dışı Paketleri"
"Vodafone Mobil Veri İle VPN Bağlantı Sorunu Ve Müşteri Hizmetleri Eksikliği","Emir","02 Ağustos 12:10","1","Vodafone mobil veri ile Cloudflare 1.1.1.1 warp VPN'e bağlanamıyorum. Wi-Fi ve Turkcell bağlantılarında bu sıkıntı bulunmuyor. Müşteri Hizmetlerine hiçbir şekilde ulaşamıyorum. Tobi diye çalışmayan bir sistem otomatik olarak hiçbir şey yapamıyor. Düzgün bir çağrı merkezi getirin lütfen.","",""
"Vodafone Faturalı Hatta Geçişte A101 Kampanyası Sorunu","İrem","02 Ağustos 11:53","-","Vodafone faturalıya geçişe özel 500₺ değerinde A101 kampanyasıyla faturalı hatta geçiş yaptım. Geçiş sonrası kampanyayla alakalı tarafıma bir bilgilen","...","#Kampanya"
"Vodafone Müşteri Hizmetleri Ve Yüksek Fiyatlı Kampanyalar","Yağmur","02 Ağustos 11:51","-","Vodafone müşteri hizmetlerini paket yenileme için aradığımda asla yardımcı olmadılar. Ödediğim fatura ile bana sunulan kampanya arasında dağlar var. Fiyatlar inanılmaz yüksek. Memnuniyet adına bile ekstra bir kampanya sunulmadı. Yıllardır Vodafone üyesiyim ama asla özel hissettirilmiyorum.","","#Kampanya"
"Vodafone Kolay Paket Sorunu: Para Kesildi, Paket Tanımlanmadı!","Kübranur","02 Ağustos 11:51","-","21.07.2024 tarihinde hattıma Vodafone Kolay Paket yükledim Yanımda uygulamasından. Hesabımdan 240 TL kadar para kesintisi olmuş fakat paketim tanımlanamadı diye mesaj geldi. Müşteri hizmetlerini arıyorum, beklemek durumundasınız diyorlar. Acil çözülmesini rica ediyorum.","","#Yanımda"
"Vodafone Paket Yükleme Sorunu: 20 GB Hala Tanımlanmadı","Havva","02 Ağustos 11:50","-","Dün Vodafone Yanımda mobil uygulaması üzerinden 20 GB'lık bir paket yükletmiştim, 390 TL ödedim. Ancak aradan çok uzun zaman geçmesine rağmen hattıma hala tanımlanmadı. Ya para iadesi yapılmasını ya da irtibat olarak dönüş yapılmasını istiyorum. Sürekli düzenli olarak yüklettiğim pakette ilk defa bö","...","#Ek Paketler"
"Vodafone Novafun World Direkt Onaylama Para İadesi Yapılmaması","Tejer","02 Ağustos 11:32","-","Novafun World sitesine herhangi bir onay vs. Basmadan şifre geldi ve onaylandı mesajı geldi. İptal ettim ama ücret iadesi olmayacağını söylediler. Bilgim dahilinde onaylamadım, onay yazısı bile çıkmadı. İademi istiyorum. Gereğinin yapılmasını arz ederim. Vodafone nasıl bir şeydir böyle.","",""
"Vodafone ''3698 Şikayeti'' Şifre Girdin Denilerek Ücret Talep Edilmesi","Musa","02 Ağustos 11:24","-","","","#Mobil Ödeme"
"Vodafone Faturalıdan Çıkış Talebi","Medeni","02 Ağustos 10:44","-","14 Temmuz'da Vodafone'u aradım, faturalıdan çıkış işlemi için. Faturalıdan çıkış işleminizi gerçekleştiriyorum, onaylıyor musunuz diye sordular, onayladım. Hattınız faturalıdan çıkarıldı denildi bana ama sonra Yanımda uygulaması üzerinden baktım, hattım halen faturalı olarak gözüküyor. Resmen Vodafo","...","#Yanımda"
"Vodafone Tobi Ye Yüklemiş Her Şeyi Müşteri Temsilcisiyle Görüşemiyorum","Mevlüt","02 Ağustos 10:43","-","Vodafone müşteri hizmetlerini arıyorum. Tobi'ye müşteri temsilcisi diyorum, beraber halledelim diyor. Yine müşteri temsilcisi diyorum, sizi tuşlamalı menüye yönlendireyim diyor. Yaptığım şikayete çözüm bulunmadı. Tobi'ye sorsam ne olacak? Hattımı değiştirme kararı almak üzereyim. Üç bin lira fatura","...","#Fatura"
"Vodafone Fazla Fatura Kesiyor","Şale","02 Ağustos 10:34","-","Taahhüt faturalı Vodafone 115 TL'lik paketteyim, 29.9 TL de aylık vergiler dahil şeklinde Premium üyeliğim var. Her ay vergiler dahil olmak üzere 145 TL olması gereken faturama 15 TL açıklamasız bir tutar yansıtılarak aylardır 145 yerine 160 TL fatura çıkartılıyor. Fatura detayımı neyin nereden kesi","...","#Taahhüt"
"Vodafone Faturalı Hat Yüksek Ücretlendirme","Sevilay","02 Ağustos 10:34","2","İyi günler 250 TL ödediğim faturamın taahhüdü bittiği gerekçesiyle bir anda yeni faturanın 710 TL'ye çıkarıldığını yanımda uygulamasından gördüm... Bu ne kadar kötü bir hizmet anlayışı? Nasıl bu kadar fahiş bir rakamla artırabilirsiniz? Mağduriyet yaşıyorum bir telefon faturasına 700 TL bütçe ayıram","...","#Fatura"
"Vodafone Müşteri Temsilcisine Ulaşamama Problemi","Orhan","02 Ağustos 10:33","-","Vodafone tobi uygulamasından bıktım artık hiçbir işlem yapamıyorum bu tobi uygulaması kapatılsın müşteri temsilcisine de hiçbir şekilde bağlanamıyorsun en yakın zamanda başka operatörü tercih edeceğim. Vodafone kendi eliyle kendini mahvetti. Yeter artık.","",""
"Sakarya Karasu Çekmeyen Vodafone Hat Ve İstenilen Cayma Bedeli","Melike","02 Ağustos 10:32","-","Sakarya Karasu Devlet Hastanesi yakınında oturmaktayım. Ne iş yerimde ne evimde ne de sokak ortasında asla Vodafone hattımı kullanamıyorum. Burası deniz kenarı yazlık bir bölge olduğu için yazın artan nüfusta tabii ki yavaşlamalar olabiliyordu ama bu o kadar sorun olmuyordu. En azından yavaştı ama y","...","#Şebeke"
"Vodafone Dijital Kurye Sim Kartımı Getiremedi","Özlem","02 Ağustos 10:25","-","Numaramı Vodafone'a taşıdım, sim kartım 2 gündür elime ulaşmıyor. Çarşamba günü başvururken yarın elinize gelir dediler. Dijital Kurye ile anlaşma yapılmış. Dijital Kurye, evimin olduğu yere cuma günü getirecek ve biz yurt dışına çıkacağız diye eşimin iş adresini verdim. İzmir - Bayraklı'ya perşembe","...",""
"Vodafone Yeni Fiyat Paketlerinin Pahalı Olması G","Ecem","02 Ağustos 10:24","-","Ben de yıllardır Vodafone kullanıcısıyım, taahhüdüm bitiyor, 240 TL olan paket 470 TL oluyor. Başka bir alternatif de sunulmuyor. Müşteri hizmetleri desen, en uygun bu diyerek geçiştiriyorlar. Başka bir hatta geçeceğim, daha uygun paketler sunuyorlar. En azından Vodafone'dan hiç memnun değilim. Gerç","...","#Faturalı Tarifeler"
"Vodafone İnternet Çekim Gücü","Semra","02 Ağustos 10:23","-","Bir telefon hiçbir yerde çekmez mi? Metroda donuyor, evde donuyor, interneti asla çekmiyor. Vodafone, artık şuna bir çare bul. Bıktım, yolda konuşurken devamlı ses gidiyor. Bir telefon hiçbir yerde çekmez mi? Metroda donuyor, evde donuyor, interneti asla çekmiyor. Vodafone, artık şuna bir çare bul.","...","#Şebeke"
"Vodafone Taahhüt Teklifleri Tek Seçenek Vermesi","Burak","02 Ağustos 10:15","-","Vodafone hattımın taahhüt süresi bitiyor. Size özel teklifler altından dayatma usulü tek seçeneğim var. Sınırsız paket kullanıyorum önerdikleri 50gb red tarifesi var sadece başkada seçenek yok. Kullanım koşullarıma göre önerdikleri tarife buymuş. Sınırsız tarife kullanırken sınırlı bir tarifeye ve b","...","#Taahhüt"
"Vodafone Mevcut Tarifemi Yenilemiyor","Murat","02 Ağustos 10:14","1","Vodafone faturalı hat abonesi olarak yıllardır aksatmadan geciktirmeden tüm faturalarını ödeyen bir aboneyim. Her taahhüt yenileme zamanı aynı sorunu yaşıyorum. 300 küsur liralarda fatura öderken şu an neredeyse 3 katı bir faturalandırmayı taahhüt etmem ve mevcut tarifem dışında teklif ediliyor. Mev","...","#Taahhüt"
"Vodafone Tarife Değişikliği Sorunu","Teoman","02 Ağustos 09:52","-","Vodafone tarife taahhüdüm bitti (Sınırsız Paket), ve geçebileceğim indirimli tarifelerin hepsi 1.000 TL'ye yakın fiyatlarda. Kaç yıldır Vodafone kullanıyorum, ilk defa bu kadar saçma bir olayla karşılaşıyorum. Sadece sınırsız paketleri gösteriyor. İndirimli tarifelerde. Özetle düşük tarifelere geçir","...","#Tarife Değişikliği"
"Vodafone Taahhüdüm Bitmeden Faturaya Fahiş Zam Uyguladı","Mustafa","02 Ağustos 09:30","-","Vodafone faturamı bir anda 239 liradan 375 liraya çıkardı. 112 lira olan tarifem bitti ve yaklaşık 4 ay önce 239 liraya çıktı. 12 ay taahhüt vardı. Bu sabah bir anda 375 lira fatura geldi. Hiçbir tatmin edici bilgi vermiyorlar. Bu nasıl iştir? Taahhütlerine uymuyorlar.","","#Fatura"
"Vodafone Uzun Süreli Müşteriye Dayatılan Tarife Ve Yetersiz Hizmet","Muhammet","02 Ağustos 09:23","3","Yıllardır Vodafone müşterisiyim. Cihaz kampanyalarından tutun, Vodafone Yanımda uygulamasındaki marketine kadar her türlü alışverişi yaptığım bir kurum. Ancak anladım ki uzun süre müşteri olanlara Vodafone ceza uygular gibi davranıyor. 31.07.2024'te adıma kayıtlı hattın taahhüdü bittikten sonra bana","...","#Faturalı Tarifeler"
"Vodafone Yeni Geçilen Tarife Ücretini İlk Gün Yansıttı","Kader","02 Ağustos 09:17","5","Vodafone faturalı hat kullanıyorum. Faturamın yenilenmesine bir gün kala tarife değişikliği yaptığım için faturama, yeni tarife ücreti yansıdı, Var olan faturamın iki katı gibi bir ücreti, henüz kullanmadığım paket için ödemiş olacağım ve sadece bir gün kala bu işlemi yaptığım için. Madem böyle bir","...","#Tarife Değişikliği"
"Vodafone Şebeke Sorunu U","Hasan","02 Ağustos 09:09","-","Vodafone operatörüne geçiş yaptım ama çok pişmanım. Şu taahhüt sorunu olmasa direkt başka operatöre geçeceğim. Şu çağda hattım hiçbir yerde çekmiyor, çok sorun yaşadım. Özellikle işim gereği navigasyonu çok kullanıyorum ama şehrin ortasında internet çekmiyor. Çok sıkıntı, çok yazık.","","#Şebeke"
"Vodafone Paketin İptal Olmaması","Erkan","02 Ağustos 09:08","-","Sınırsız pakete geçtim, 10 GB paketimi iptal edemiyorum. Müşteri hizmetlerini arıyorum, Tobi'ye yönlendiriyor. Bir muhatap bulamadım. Böyle mi olması gerekiyor? Bir çözüm bekliyorum. Benim gibi kaç kişi şikayetçi bu durumdan? Tobi'ye yapay zekaya anlatıyorum, anlamıyor.","","#Ek Paketler"
"Vodafone Hediye İnternet Vermedi","Merve","02 Ağustos 08:56","-","Doğum günümüzde Vodafone hediye internet verirdi, her sene bu sene her şey bu kadar pahalıyken vermedi. Çözüm üretirseniz çok sevinirim. Zaten fazla fazla fatura ödüyoruz, ona da hakkım olduğunu düşünüyorum. İlla buraya yazmaya gerek olmasın vermeniz için.","","#Fatura"
"Tarife Güncellenince Sunulan Vodafone Red'li Olma Avantajsızlığı!","Zuhal","02 Ağustos 08:31","-","Uzun yıllardır Vodafone Red müşterisiyim. Yaklaşık 178 TL'lik tarifemin taahhüt süresi bitti. Bana önerilen en baz paket 440 TL ve diğer operatör firmalarında bundan daha uygun fiyata daha ayrıcalıklı, yüksek GB'lı seçenekler sunuluyor. Vodafone'un müşterilerine, hem de özellikle bu kadar yıl sadık","...","#Taahhüt"
"Vodafone FreeZone Hata Uyarısı","Nisa","02 Ağustos 08:31","6","Hattım annemin üstüne ve kendimi Vodafone FreeZone kullanıcısı olarak tanımlamak istiyorum fakat sürekli beklenmedik hata uyarısı veriyor. Neden kayna","...","#FreeZone"
"Vodafone Sabiha Gökçen Havalimanında Çekmiyor","Y. Emre","02 Ağustos 08:25","-","Şirketimizde çalışanlar ve ben defalarca talepte bulunmamıza rağmen, Vodafone dikkate almadı. Pendik'te Sabiha Gökçen havalimanında bulunmamıza rağmen, şebekemiz asla çekmiyor. Lütfen ama lütfen acil çözüm. Eğer çözülmesi durumunda, Vodafone burada bir çok abonesini kaybetmeye devam edecek. Önümüzde","...","#Hat İptali"
"Vodafone'un Hukuksuzca DNS Ve VPN Engellemeleri","Musa","02 Ağustos 08:25","21","Vodafone mobil internette hukuksuz bir şekilde DNS over HTTPS ve VPN engelliyor. Örneğin, Türk Telekom'dan Vodafone'a geçmeden önce reklam engelleme için kullandığım Mullvad DNS, Vodafone'da çalışmadı. Bu gibi birçok yazı gördüm internette. Adguard bile çalışmıyormuş ancak çok şikayet gelince Adguar","...","#Mobil İnternet"
"Vodafone Saçmalık İnternet Sorunu Gelmeme","Doğukan","02 Ağustos 08:13","-","Vodafone'dan 100 TL'ye 10 GB paket alıyorum, hata veriyor. Birkaç kere deniyorum, yine hata veriyor. Sonra aradan 5 dakika geçtikten sonra 100 TL, 100 TL, ikişer kez hesaptan 100 TL çekiyor ve internet hesaba aktarılmıyor. Bu nasıl bir hatadır? Bu ilk değil zaten. Müşteri temsilcisini arıyorum, diyo","...","#Kolay Paket"
"Vodafone Hediye Çeki Sorunu","Çılgın","02 Ağustos 04:28","1","Birkaç gün önce Vodafone kontörlü olan hattımı faturalıya geçirdim. Faturalıya geçme karşılığında A101'den 500 TL hediye çeki kazanacağım yazıyordu. H","...","#SMS"
"Vodafone Mobil Ödeme İptali İçin Sürekli Sorun Yaşıyorum","Ayhan","02 Ağustos 03:06","-","Vodafone'da RSRT diye mobil ödemeleri var. Kaç kere aradım, mobil ödemeleri iptal edin dedim. İptal edildi diyorlar ama diğer faturamda yine çıkıyor. Bir türlü iptal edemedim. Firma ne onu bilemem, iptal edemedim. Boşuna para ödüyoruz, ne olduğunu bile bilmeden.","","#Mobil Ödeme"
"Vodafone Paket Bitmeden Aşım","Salih","02 Ağustos 02:20","-","Vodafone paket bitmeden aşım paketi yüklüyor. Göndermelerinin mümkün olmadığı SMS'lerin gönderildiğini, suçlu tarafın şahsım olduğunu söylüyor. Paket bitmeden (7000 den gelen kalan kullanım mesajına göre) paketin bittiğine dair mesaj yollamışlar. Operatörle görüşme yaptığımda, ne hikmetse diğer tüm","...","#SMS"
"Vodafone Tarife Taahhüt Yenilemeye Fahiş Zam Yapıyor","Ali","02 Ağustos 01:56","-","Vodafone bitmekte olan taahhütlü tarifemi yenilemek istediğimde, %300 ü geçen fiyatlarla zam yaparak bana sunuluyor. Her sene taahhüt yenilenmesinde fiyatları görünce elim ayağım titriyor. Bulunduğum bölgede zaten doğru düzgün çekmiyor. Zamanında Vodafone uygun olduğu için geçmiştim. Başka bir oper","...","#Taahhüt"
"Vodafone Müşteri Hizmetlerine 1 Saat Aşkın Bir Süredir Bağlanamıyorum.","Selcuk","02 Ağustos 01:50","-","Vodafone internetim gitti, bir saattir müşteri hizmetlerine bağlanamıyorum. Yıl olmuş 2024, tarih öncesinden kalma müşteri hizmetleriyle yine farkını gösteriyor Vodafone. Reklama gelince ne yapacaklarını şaşırırlar, hizmet vermeye gelince kimseyi bulamazsınız.","","#İnternet Paketi"
"Vodafone Kolay Paket Yüklemede Çifte Çekim Ve Müşteri Hizmetleri Fiyaskosu","Ayşe","02 Ağustos 01:32","-","1 Ağustos 2024 tarihinde Vodafone kolay paket yüklerken kartımdan iki defa para çekildi ve buna rağmen hattıma paket tanımlanmadı. Konu için müşteri hizmetlerine ulaşmak istediğimde ise tam bir fiyaskoydu. Asla ulaşıp derdimi anlatamadım mağduriyetimin giderilmesini istiyorum.","","#Kolay Paket"
"Cepinfo İptal Şikayeti Vodafone","Gamze","02 Ağustos 00:03","-","Merhabalar Cepinfo dan istemediğim halde mesaj almaya devam ediyorum. Uygulama üzerinden iptal edemedim. Cepinfo iptali konusunda yardım istiyorum. Yanımda uygulamasının bu iptal konularında biraz daha geliştirilmesi gerekiyor. Ayrıca paketim için yüklediğim para da oraya gidiyor. Lütfen yardımcı ol","...","#Cepinfo"
"Vodafone Para İadesi Talebi","Nuran","01 Ağustos 23:57","233","01.08.2024 tarihinde Vodafone uygulamasından kolay paket satın aldım, 650 TL'ye. Ard arda 3 kere 650 TL çekilmiş, haberim olmadan. Akşam hesap özetine","...","#Kolay Paket"
"Vodafone İnternet Kullanım Sorunu","Şevket","01 Ağustos 23:51","-","Her ay 400-500 TL fatura alınıyor ama hizmet sıfır, internet hiç çekmiyor. Benden alınan faturaların geri iade edilmesini istiyorum. Bu durumu Vodafone müşteri hizmetlerine defalarca dememe rağmen sorun hala çözülmedi. İnternet hizmeti sıfır, bir uygulama kullanırken 2G kullanır gibi hizmet veriyor","...",""
